Wk,Winner,Pts,Loser,Pts.1,winners,losers,home_rank,away_rank,home_team_code,away_team_code,home_results,win_rank,lose_rank,day_code,hours,null,half,quart,three_quart
3,Indiana,35,Idaho,22,Indiana,Idaho,99,99,43,76,0,99,99,5,20,1,0,0,0
3,Iowa State,10,Iowa,7,Iowa State,Iowa,99,99,44,84,1,99,99,5,16,1,0,0,0
3,James Madison,63,Norfolk State,7,James Madison,Norfolk State,99,99,46,128,0,99,99,5,16,1,0,0,0
3,Kansas,55,West Virginia,42,Kansas,West Virginia,99,99,127,87,1,99,99,5,18,1,0,0,0
3,Kansas State,40,Missouri,12,Kansas State,Missouri,99,99,48,116,0,99,99,5,12,1,0,0,0
3,(20) Kentucky,26,(12) Florida,16,Kentucky,Florida,12,20,31,91,1,20,12,5,19,1,0,0,0
3,Liberty,21,Alabama-Birmingham,14,Liberty,Alabama-Birmingham,99,99,51,6,0,99,99,5,18,1,0,0,0
3,Louisiana,49,Eastern Michigan,21,Louisiana,Eastern Michigan,99,99,52,54,0,99,99,5,5,1,0,0,0
3,Louisiana State,65,Southern,17,Louisiana State,Southern,99,99,53,172,0,99,99,5,19,0,1,0,0
3,Louisiana Tech,52,Stephen F. Austin,17,Louisiana Tech,Stephen F. Austin,99,99,54,180,0,99,99,5,19,1,0,0,0
3,Louisiana-Monroe,35,Nicholls State,7,Louisiana-Monroe,Nicholls State,99,99,55,127,0,99,99,5,20,1,0,0,0
3,Marshall,26,(8) Notre Dame,21,Marshall,Notre Dame,8,99,82,102,1,99,8,5,14,0,1,0,0
3,Maryland,56,Charlotte,21,Maryland,Charlotte,99,99,21,103,1,99,99,5,15,0,1,0,0
3,Memphis,37,Navy,13,Memphis,Navy,99,99,70,106,1,99,99,5,15,0,1,0,0
3,(15) Miami (FL),30,Southern Mississippi,7,Miami (FL),Southern Mississippi,15,99,61,176,0,15,99,5,12,1,0,0,0
3,Miami (OH),31,Robert Morris,14,Miami (OH),Robert Morris,99,99,62,157,0,99,99,5,18,1,0,0,0
3,(4) Michigan,56,Hawaii,10,Michigan,Hawaii,4,99,63,71,0,4,99,5,20,1,0,0,0
3,(14) Michigan State,52,Akron,0,Michigan State,Akron,14,99,64,2,0,14,99,5,16,1,0,0,0
3,Middle Tennessee State,34,Colorado State,19,Middle Tennessee State,Colorado State,99,99,26,112,1,99,99,5,16,1,0,0,0
3,Minnesota,62,Western Illinois,10,Minnesota,Western Illinois,99,99,66,218,0,99,99,5,12,1,0,0,0
3,(22) Mississippi,59,Central Arkansas,3,Mississippi,Central Arkansas,22,99,67,32,0,22,99,5,5,1,0,0,0
3,Mississippi State,39,Arizona,17,Mississippi State,Arizona,99,99,5,115,1,99,99,5,11,1,0,0,0
3,North Carolina,35,Georgia State,28,North Carolina,Georgia State,99,99,38,130,1,99,99,5,12,1,0,0,0
3,(18) North Carolina State,55,Charleston Southern,3,North Carolina State,Charleston Southern,18,99,78,36,0,18,99,5,12,0,1,0,0
3,North Texas,59,Texas Southern,27,North Texas,Texas Southern,99,99,79,192,0,99,99,5,19,0,1,0,0
3,(3) Ohio State,45,Arkansas State,12,Ohio State,Arkansas State,3,99,84,13,0,3,99,5,12,1,0,0,0
3,(7) Oklahoma,33,Kent State,3,Oklahoma,Kent State,7,99,85,90,0,7,99,5,19,1,0,0,0
3,(11) Oklahoma State,34,Arizona State,17,Oklahoma State,Arizona State,11,99,86,11,0,11,99,5,19,0,1,0,0
3,Oregon,70,Eastern Washington,14,Oregon,Eastern Washington,99,99,88,55,0,99,99,5,20,0,1,0,0
3,Oregon State,35,Fresno State,32,Oregon State,Fresno State,99,99,35,149,1,99,99,5,22,0,1,0,0
3,Penn State,46,Ohio,10,Penn State,Ohio,99,99,90,143,0,99,99,5,12,1,0,0,0
3,Purdue,56,Indiana State,0,Purdue,Indiana State,99,99,92,82,0,99,99,5,16,1,0,0,0
3,Rice,52,McNeese State,10,Rice,McNeese State,99,99,93,105,0,99,99,5,19,0,1,0,0
