Wk,winners,losers,home_rank,away_rank,home_team_code,away_team_code,home_results,day_code
5,Kansas State,Oklahoma,6,99,85,87,1,5
5,Kentucky,Northern Illinois,8,99,50,136,0,5
5,Liberty,Akron,99,99,51,2,0,5
5,Louisiana State,New Mexico,99,99,53,124,0,5
5,Louisiana-Monroe,Louisiana,99,99,55,95,0,5
5,Louisville,South Florida,99,99,56,167,0,5
5,Memphis,North Texas,99,99,60,133,0,5
5,Miami (OH),Northwestern,99,99,81,108,1,5
5,Michigan,Maryland,4,99,63,102,0,5
5,Middle Tennessee State,Miami (FL),99,99,61,111,1,5
5,Minnesota,Michigan State,99,99,64,112,1,5
5,Mississippi,Tulsa,99,99,67,199,0,5
5,Mississippi State,Bowling Green,99,99,68,23,0,5
5,Navy,East Carolina,99,99,29,119,1,5
5,Nevada-Las Vegas,Utah State,99,99,120,122,1,5
5,New Mexico State,Hawaii,99,99,76,70,0,5
5,North Carolina State,Connecticut,99,99,78,46,0,5
5,Notre Dame,North Carolina,99,99,77,140,1,5
5,Ohio,Fordham,99,99,83,61,0,5
5,Ohio State,Wisconsin,3,99,84,219,0,5
5,Old Dominion,Arkansas State,99,99,87,13,0,5
5,Oregon,Washington State,99,99,126,146,1,5
5,Penn State,Central Michigan,99,99,90,35,0,5
5,Pittsburgh,Rhode Island,99,99,91,152,0,5
5,Purdue,Florida Atlantic,99,99,92,58,0,5
5,Sacramento State,Colorado State,99,99,26,157,1,5
5,San Diego State,Toledo,99,99,95,195,0,5
5,San Jose State,Western Michigan,99,99,96,217,0,5
5,South Alabama,Louisiana Tech,99,99,97,97,0,5
5,South Carolina,Charlotte,99,99,98,37,0,5
5,Southern California,Oregon State,99,7,89,171,1,5
5,Southern Mississippi,Tulane,99,99,116,174,1,5
5,Temple,Massachusetts,99,99,105,103,0,5
5,Tennessee,Florida,99,99,106,56,0,5
5,Texas A&M,Arkansas,99,99,72,223,3,5
5,Texas Christian,Southern Methodist,99,99,101,189,1,5
5,Texas State,Houston Baptist,99,99,110,73,0,5
5,Texas Tech,Texas,99,99,111,187,0,5
5,Texas-San Antonio,Texas Southern,99,99,113,190,0,5
5,Troy,Marshall,99,99,115,101,0,5
5,UCLA,Colorado,99,99,25,200,1,5
5,Utah,Arizona State,99,99,6,201,1,5
5,Washington,Stanford,99,99,125,177,0,5
5,Western Kentucky,Florida International,99,99,128,59,0,5
6,Brigham Young,Utah State,99,99,16,202,0,3
6,South Carolina,South Carolina State,99,99,98,164,0,3
6,Boise State,San Diego State,99,99,13,160,0,4
6,Nevada-Las Vegas,New Mexico,99,99,74,124,0,4
6,Texas-San Antonio,Middle Tennessee State,99,99,65,194,1,4
6,Tulane,Houston,99,99,41,198,1,4
6,UCLA,Washington,99,99,118,210,0,4
6,Air Force,Navy,99,99,0,119,0,5
6,Alabama,Arkansas,99,2,7,3,1,5
6,Appalachian State,Citadel,99,99,4,40,0,5
6,Arizona,Colorado,99,99,5,44,0,5
6,Arkansas State,Louisiana-Monroe,99,99,8,98,0,5
6,Ball State,Northern Illinois,99,99,11,136,0,5
6,Boston College,Louisville,99,99,14,99,0,5
6,Bowling Green,Akron,99,99,1,23,1,5
6,Buffalo,Miami (OH),99,99,17,108,0,5
6,Cincinnati,Tulsa,99,99,117,39,1,5
6,Clemson,North Carolina State,5,99,23,130,0,5
6,Coastal Carolina,Georgia Southern,99,99,24,66,0,5
6,Connecticut,Fresno State,99,99,27,62,0,5
6,Duke,Virginia,99,99,28,205,0,5
6,East Carolina,South Florida,99,99,72,223,3,5
6,Eastern Michigan,Massachusetts,99,99,30,103,0,5
6,Florida International,New Mexico State,99,99,76,59,1,5
6,Georgia,Missouri,99,1,69,65,1,5
6,Georgia State,Army,99,99,9,67,1,5
6,Georgia Tech,Pittsburgh,99,99,91,68,1,5
6,Illinois,Wisconsin,99,99,130,77,1,5
6,James Madison,Texas State,99,99,46,191,0,5
6,Kansas,Iowa State,99,99,47,83,0,5
6,Kansas State,Texas Tech,99,99,48,192,0,5
6,Kent State,Ohio,99,99,49,141,0,5
6,Liberty,Old Dominion,99,99,87,93,1,5
6,Louisiana State,Auburn,99,99,10,96,1,5
6,Marshall,Gardner-Webb,99,99,57,64,0,5
6,Maryland,Michigan State,99,99,58,110,0,5
6,Memphis,Temple,99,99,60,182,0,5
6,Michigan,Iowa,99,4,44,109,1,5
6,Mississippi,Kentucky,99,7,67,90,0,5
6,Mississippi State,Texas A&M,99,99,68,188,0,5
6,Nebraska,Indiana,99,99,71,80,0,5
6,North Carolina,Virginia Tech,99,99,77,207,0,5
6,North Texas,Florida Atlantic,99,99,79,58,0,5
6,Ohio State,Rutgers,3,99,84,156,0,5
6,Oklahoma State,Baylor,99,9,12,144,1,5
6,Oregon,Stanford,99,99,88,177,0,5
6,Penn State,Northwestern,99,99,90,138,0,5
6,Purdue,Minnesota,99,99,66,151,1,5
6,Rice,Alabama-Birmingham,99,99,93,6,0,5
6,San Jose State,Wyoming,99,99,131,161,1,5
6,South Alabama,Louisiana,99,99,52,162,1,5
6,Southern California,Arizona State,6,99,100,11,0,5
6,Syracuse,Wagner,99,99,104,208,0,5
6,Texas,West Virginia,99,99,107,213,0,5
6,Texas Christian,Oklahoma,99,99,109,143,0,5
6,Texas-El Paso,Charlotte,99,99,21,193,1,5
6,Toledo,Central Michigan,99,99,114,35,0,5
6,Troy,Western Kentucky,99,99,128,197,1,5
6,Utah,Oregon State,99,99,119,147,0,5
6,Wake Forest,Florida State,99,99,34,209,1,5
6,Washington State,California,99,99,126,29,0,5
6,Western Michigan,New Hampshire,99,99,129,123,0,5
6,Florida,Eastern Washington,99,99,31,54,0,6
7,Central Florida,Southern Methodist,99,99,19,173,0,2
7,Colorado State,Nevada,99,99,73,45,1,4
7,Houston,Memphis,99,99,60,72,1,4
7,Nebraska,Rutgers,99,99,94,120,1,4
7,San Jose State,Nevada-Las Vegas,99,99,96,122,0,4
7,Alabama,Texas A&M,1,99,2,188,0,5
7,Alabama-Birmingham,Middle Tennessee State,99,99,3,111,0,5
7,Arizona State,Washington,99,99,6,210,0,5
7,Ball State,Central Michigan,99,99,20,18,1,5
7,Boise State,Fresno State,99,99,13,62,0,5
7,Buffalo,Bowling Green,99,99,15,27,1,5
7,Cincinnati,South Florida,99,99,22,167,0,5
7,Clemson,Boston College,99,5,14,41,1,5
7,Coastal Carolina,Louisiana-Monroe,99,99,55,42,1,5
7,Connecticut,Florida International,99,99,33,46,1,5
7,Eastern Michigan,Western Michigan,99,99,129,53,1,5
7,Florida,Missouri,99,99,31,115,0,5
7,Georgia,Auburn,2,99,36,16,0,5
7,Georgia State,Georgia Southern,99,99,38,66,0,5
7,Georgia Tech,Duke,99,99,39,48,0,5
7,Illinois,Iowa,99,99,42,82,0,5
7,James Madison,Arkansas State,99,99,8,85,1,5
7,Kansas State,Iowa State,99,99,45,87,1,5
7,Liberty,Massachusetts,99,99,59,93,1,5
7,Louisiana Tech,Texas-El Paso,99,99,54,193,0,5
7,Louisville,Virginia,99,99,122,99,1,5
7,Miami (OH),Kent State,99,99,62,89,0,5
7,Michigan,Indiana,99,4,43,109,1,5
7,Mississippi,Vanderbilt,99,9,121,113,1,5
7,Mississippi State,Arkansas,99,99,68,12,0,5
7,Navy,Tulsa,99,99,70,199,0,5
7,North Carolina,Miami (FL),99,99,61,128,1,5
7,North Carolina State,Florida State,99,99,78,60,0,5
7,Notre Dame,Brigham Young,99,99,72,223,3,5
7,Ohio,Akron,99,99,83,2,0,5
7,Ohio State,Michigan State,99,3,64,142,1,5
7,Oklahoma State,Texas Tech,7,99,86,192,0,5
7,Oregon,Arizona,99,99,5,146,1,5
7,Oregon State,Stanford,99,99,103,147,1,5
7,Pittsburgh,Virginia Tech,99,99,91,207,0,5
7,Purdue,Maryland,99,99,58,151,1,5
7,San Diego State,Hawaii,99,99,95,70,0,5
7,South Carolina,Kentucky,99,99,50,163,1,5
7,Southern California,Washington State,6,99,100,211,0,5
7,Tennessee,Louisiana State,99,8,53,183,1,5
7,Texas,Oklahoma,99,99,72,223,3,5
7,Texas Christian,Kansas,99,99,47,189,1,5
7,Texas State,Appalachian State,99,99,110,9,0,5
7,Texas-San Antonio,Western Kentucky,99,99,113,216,0,5
7,Toledo,Northern Illinois,99,99,80,195,1,5
7,Troy,Southern Mississippi,99,99,115,174,0,5
7,Tulane,East Carolina,99,99,116,50,0,5
7,UCLA,Utah,99,99,118,201,0,5
7,Utah State,Air Force,99,99,120,1,0,5
7,Wake Forest,Army,99,99,124,15,0,5
7,Wisconsin,Northwestern,99,99,81,219,1,5
7,Wyoming,New Mexico,99,99,75,221,1,5
8,Louisiana,Marshall,99,99,57,95,1,2
8,Central Florida,Temple,99,99,19,182,0,3
8,West Virginia,Baylor,99,99,127,19,0,3
8,Southern Methodist,Navy,99,99,101,119,0,4
8,Texas-San Antonio,Florida International,99,99,33,194,1,4
8,Air Force,Nevada-Las Vegas,99,99,74,1,1,5
8,Alabama-Birmingham,Charlotte,99,99,3,37,0,5
8,Arkansas,Brigham Young,99,99,16,12,1,5
8,Army,Colgate,99,99,9,43,0,5
8,Ball State,Connecticut,99,99,11,46,0,5
8,Bowling Green,Miami (OH),99,99,15,108,0,5
8,Buffalo,Massachusetts,99,99,59,27,1,5
8,Central Michigan,Akron,99,99,1,35,1,5
8,Clemson,Florida State,99,4,34,41,1,5
8,Colorado,California,99,99,25,29,0,5
8,East Carolina,Memphis,99,99,29,105,0,5
8,Florida Atlantic,Rice,99,99,32,153,0,5
8,Fresno State,San Jose State,99,99,35,161,0,5
8,Georgia,Vanderbilt,1,99,36,203,0,5
8,Georgia Southern,James Madison,99,99,37,85,0,5
8,Hawaii,Nevada,99,99,40,121,0,5
8,Illinois,Minnesota,99,99,42,112,0,5
8,Kentucky,Mississippi State,99,99,50,114,0,5
8,Liberty,Gardner-Webb,99,99,51,64,0,5
8,Louisiana State,Florida,99,99,31,96,1,5
8,Maryland,Indiana,99,99,43,102,1,5
8,Miami (FL),Virginia Tech,99,99,123,107,1,5
8,Michigan,Penn State,5,99,63,148,0,5
8,Michigan State,Wisconsin,99,99,64,219,0,5
8,Mississippi,Auburn,9,99,67,16,0,5
8,New Mexico State,New Mexico,99,99,76,124,0,5
8,North Carolina,Duke,99,99,28,128,1,5
8,North Texas,Louisiana Tech,99,99,79,97,0,5
8,Northern Illinois,Eastern Michigan,99,99,30,136,1,5
8,Ohio,Western Michigan,99,99,129,141,1,5
8,Oklahoma,Kansas,99,99,85,86,0,5
8,Old Dominion,Coastal Carolina,99,99,24,145,1,5
8,Oregon State,Washington State,99,99,89,211,0,5
8,Purdue,Nebraska,99,99,92,120,0,5
8,South Alabama,Louisiana-Monroe,99,99,97,98,0,5
8,Southern Mississippi,Arkansas State,99,99,102,13,0,5
8,Stanford,Notre Dame,99,99,82,177,1,5
8,Syracuse,North Carolina State,99,99,104,130,0,5
8,Tennessee,Alabama,6,3,106,3,0,5
8,Texas,Iowa State,99,99,107,83,0,5
8,Texas Christian,Oklahoma State,99,8,109,144,0,5
8,Toledo,Kent State,99,99,114,89,0,5
8,Troy,Texas State,99,99,115,191,0,5
8,Tulane,South Florida,99,99,99,198,1,5
8,Utah,Southern California,99,7,119,171,0,5
8,Utah State,Colorado State,99,99,26,202,1,5
8,Washington,Arizona,99,99,125,10,0,5
8,Western Kentucky,Middle Tennessee State,99,99,65,216,1,5
9,Appalachian State,Georgia State,99,99,4,67,0,2
9,Troy,South Alabama,99,99,97,197,1,3
9,Virginia,Georgia Tech,99,99,39,205,1,3
9,Tulsa,Temple,99,99,105,199,1,4
9,Western Kentucky,Alabama-Birmingham,99,99,128,6,0,4
9,Alabama,Mississippi State,6,99,2,114,0,5
9,Army,Louisiana-Monroe,99,99,9,98,0,5
9,Baylor,Kansas,99,99,12,86,0,5
9,Boise State,Air Force,99,99,0,21,1,5
9,Bowling Green,Central Michigan,99,99,20,23,1,5
9,Buffalo,Toledo,99,99,17,195,0,5
9,Cincinnati,Southern Methodist,99,99,101,39,1,5
9,Clemson,Syracuse,5,99,23,180,0,5
9,Colorado State,Hawaii,99,99,26,70,0,5
9,Duke,Miami (FL),99,99,61,48,1,5
9,East Carolina,Central Florida,99,99,29,34,0,5
9,Eastern Michigan,Ball State,99,99,11,53,1,5
9,Florida International,Charlotte,99,99,21,59,1,5
9,Fresno State,New Mexico,99,99,75,62,1,5
9,Georgia Southern,Old Dominion,99,99,87,66,1,5
9,Houston,Navy,99,99,70,72,1,5
9,Kent State,Akron,99,99,49,2,0,5
9,Liberty,Brigham Young,99,99,51,24,0,5
9,Louisiana,Arkansas State,99,99,52,13,0,5
9,Louisiana State,Mississippi,99,7,53,113,0,5
9,Louisville,Pittsburgh,99,99,56,149,0,5
9,Marshall,James Madison,99,99,46,101,1,5
9,Maryland,Northwestern,99,99,58,138,0,5
9,Missouri,Vanderbilt,99,99,69,203,0,5
9,Notre Dame,Nevada-Las Vegas,99,99,82,122,0,5
9,Ohio,Northern Illinois,99,99,83,136,0,5
9,Ohio State,Iowa,2,99,84,82,0,5
9,Oklahoma State,Texas,99,99,86,187,0,5
9,Oregon,UCLA,99,9,88,200,0,5
9,Oregon State,Colorado,99,99,89,44,0,5
9,Penn State,Minnesota,99,99,90,112,0,5
9,Rice,Louisiana Tech,99,99,54,153,1,5
9,Rutgers,Indiana,99,99,94,80,0,5
