Wk,Time,Winner,Pts,Loser,Pts.1,winners,losers,home_rank,away_rank,home_team_code,away_team_code,home_results,win_rank,lose_rank,dates,day_code
3,,Louisiana,49,Eastern Michigan,21,Louisiana,Eastern Michigan,99,99,52,53,0,99,99,2022-09-10,5
3,7:30 PM,Louisiana State,65,Southern,17,Louisiana State,Southern,99,99,53,170,0,99,99,2022-09-10,5
3,7:00 PM,Louisiana Tech,52,Stephen F. Austin,17,Louisiana Tech,Stephen F. Austin,99,99,54,178,0,99,99,2022-09-10,5
3,8:00 PM,Louisiana-Monroe,35,Nicholls State,7,Louisiana-Monroe,Nicholls State,99,99,55,126,0,99,99,2022-09-10,5
3,2:30 PM,Marshall,26,(8) Notre Dame,21,Marshall,Notre Dame,8,99,82,101,1,99,8,2022-09-10,5
3,3:30 PM,Maryland,56,Charlotte,21,Maryland,Charlotte,99,99,21,102,1,99,99,2022-09-10,5
3,3:30 PM,Memphis,37,Navy,13,Memphis,Navy,99,99,70,105,1,99,99,2022-09-10,5
3,12:00 PM,(15) Miami (FL),30,Southern Mississippi,7,Miami (FL),Southern Mississippi,99,99,61,174,0,15,99,2022-09-10,5
3,6:00 PM,Miami (OH),31,Robert Morris,14,Miami (OH),Robert Morris,99,99,62,155,0,99,99,2022-09-10,5
3,8:00 PM,(4) Michigan,56,Hawaii,10,Michigan,Hawaii,4,99,63,70,0,4,99,2022-09-10,5
3,4:00 PM,(14) Michigan State,52,Akron,0,Michigan State,Akron,99,99,64,2,0,14,99,2022-09-10,5
3,4:00 PM,Middle Tennessee State,34,Colorado State,19,Middle Tennessee State,Colorado State,99,99,26,111,1,99,99,2022-09-10,5
3,12:00 PM,Minnesota,62,Western Illinois,10,Minnesota,Western Illinois,99,99,66,215,0,99,99,2022-09-10,5
3,,(22) Mississippi,59,Central Arkansas,3,Mississippi,Central Arkansas,99,99,67,32,0,22,99,2022-09-10,5
3,11:00 PM,Mississippi State,39,Arizona,17,Mississippi State,Arizona,99,99,5,114,1,99,99,2022-09-10,5
3,12:00 PM,North Carolina,35,Georgia State,28,North Carolina,Georgia State,99,99,38,128,1,99,99,2022-09-10,5
3,12:30 PM,(18) North Carolina State,55,Charleston Southern,3,North Carolina State,Charleston Southern,99,99,78,36,0,18,99,2022-09-10,5
3,7:30 PM,North Texas,59,Texas Southern,27,North Texas,Texas Southern,99,99,79,190,0,99,99,2022-09-10,5
3,12:00 PM,(3) Ohio State,45,Arkansas State,12,Ohio State,Arkansas State,3,99,84,13,0,3,99,2022-09-10,5
3,7:00 PM,(7) Oklahoma,33,Kent State,3,Oklahoma,Kent State,7,99,85,89,0,7,99,2022-09-10,5
3,7:30 PM,(11) Oklahoma State,34,Arizona State,17,Oklahoma State,Arizona State,99,99,86,11,0,11,99,2022-09-10,5
3,8:30 PM,Oregon,70,Eastern Washington,14,Oregon,Eastern Washington,99,99,88,54,0,99,99,2022-09-10,5
3,10:30 PM,Oregon State,35,Fresno State,32,Oregon State,Fresno State,99,99,35,147,1,99,99,2022-09-10,5
3,12:00 PM,Penn State,46,Ohio,10,Penn State,Ohio,99,99,90,141,0,99,99,2022-09-10,5
3,4:00 PM,Purdue,56,Indiana State,0,Purdue,Indiana State,99,99,92,81,0,99,99,2022-09-10,5
3,7:30 PM,Rice,52,McNeese State,10,Rice,McNeese State,99,99,93,104,0,99,99,2022-09-10,5
3,4:00 PM,Rutgers,66,Wagner,7,Rutgers,Wagner,99,99,94,208,0,99,99,2022-09-10,5
3,8:00 PM,San Diego State,38,Idaho State,7,San Diego State,Idaho State,99,99,95,76,0,99,99,2022-09-10,5
3,1:00 PM,South Alabama,38,Central Michigan,24,South Alabama,Central Michigan,99,99,20,162,1,99,99,2022-09-10,5
3,7:00 PM,South Florida,42,Howard,20,South Florida,Howard,99,99,99,74,0,99,99,2022-09-10,5
3,7:30 PM,(10) Southern California,41,Stanford,28,Southern California,Stanford,99,99,103,171,1,10,99,2022-09-10,5
