Wk,Pts,Pts.1,home_results,loser_rank,winner_rank,winner,loser,date_time,win_new,lose_new
5,27.0,10.0,1,99,99,Iowa,Rutgers,2022-09-24 12:00:00,75,167
5,32.0,28.0,1,99,99,James Madison,Appalachian State,2022-09-24 20:00:00,77,35
5,35.0,27.0,0,99,99,Kansas,Duke,2022-09-24 19:00:00,78,70
5,41.0,34.0,1,6,99,Kansas State,Oklahoma,2022-09-24 18:00:00,79,157
5,31.0,23.0,0,99,8,Kentucky,Northern Illinois,2022-09-24 19:30:00,81,151
5,21.0,12.0,0,99,99,Liberty,Akron,2022-09-24 20:00:00,82,28
5,38.0,0.0,0,99,99,Louisiana State,New Mexico,2022-09-24 12:00:00,84,140
5,21.0,17.0,0,99,99,Louisiana-Monroe,Louisiana,2022-09-24 15:30:00,86,112
5,41.0,3.0,0,99,99,Louisville,South Florida,2022-09-24 19:30:00,87,177
5,44.0,34.0,0,99,99,Memphis,North Texas,2022-09-24 12:00:00,91,148
5,17.0,14.0,1,99,99,Miami (OH),Northwestern,2022-09-24 15:30:00,93,153
5,34.0,27.0,0,99,4,Michigan,Maryland,2022-09-24 15:30:00,94,119
5,45.0,31.0,1,25,99,Middle Tennessee State, Miami (FL),2022-09-24 16:00:00,96,11
5,34.0,7.0,1,99,99,Minnesota,Michigan State,2022-09-24 12:00:00,97,126
5,35.0,27.0,0,99,16, Mississippi,Tulsa,2022-09-24 18:00:00,11,205
5,45.0,14.0,0,99,99,Mississippi State,Bowling Green,2022-09-24 19:00:00,99,49
5,23.0,20.0,1,99,99,Navy,East Carolina,2022-09-24 20:00:00,101,72
5,34.0,24.0,1,99,99,Nevada-Las Vegas,Utah State,2022-09-24 19:30:00,104,207
5,45.0,26.0,0,99,99,New Mexico State,Hawaii,2022-09-24 15:30:00,106,91
5,41.0,10.0,0,99,12, North Carolina State,Connecticut,2022-09-24 14:00:00,13,69
5,45.0,32.0,1,99,99,Notre Dame,North Carolina,2022-09-24 19:30:00,111,144
5,59.0,52.0,0,99,99,Ohio,Fordham,2022-09-24 18:00:00,112,83
5,52.0,21.0,0,99,3,Ohio State,Wisconsin,2022-09-24 16:00:00,113,220
5,29.0,26.0,0,99,99,Old Dominion,Arkansas State,2022-09-24 12:00:00,116,39
5,44.0,41.0,1,99,15, Oregon,Washington State,2022-09-24 12:00:00,15,214
5,33.0,14.0,0,99,14, Penn State,Central Michigan,2022-09-24 19:30:00,16,60
5,45.0,24.0,0,99,24, Pittsburgh,Rhode Island,2022-09-24 16:00:00,17,163
5,28.0,26.0,0,99,99,Purdue,Florida Atlantic,2022-09-24 15:30:00,121,80
5,41.0,10.0,1,99,99,Sacramento State,Colorado State,2022-09-24 10:30:00,124,68
5,17.0,14.0,0,99,99,San Diego State,Toledo,2022-09-24 19:00:00,125,201
5,34.0,6.0,0,99,99,San Jose State,Western Michigan,2022-09-24 19:30:00,126,219
5,38.0,14.0,0,99,99,South Alabama,Louisiana Tech,2022-09-24 21:30:00,127,114
5,56.0,20.0,0,99,99,South Carolina,Charlotte,2022-09-24 19:00:00,128,62
5,17.0,14.0,1,99,7,Southern California,Oregon State,2022-09-24 14:00:00,130,160
5,27.0,24.0,1,99,99,Southern Mississippi,Tulane,2022-09-24 15:30:00,133,204
5,28.0,0.0,0,99,99,Temple,Massachusetts,2022-09-24 19:00:00,136,120
5,38.0,33.0,0,20,11, Tennessee, Florida,2022-09-24 12:00:00,20,4
5,23.0,21.0,3,10,23, Texas A&M, Arkansas,2022-09-24 19:00:00,22,0
