Rk,School,G,Pts,pass_cmp,pass_att,pass_pct,pass_yds,pass_td,rush_att,rush_yds,rush_avg,rush_td,off_plays,off_yds,off_avg,fdown_pass,fdown_rush,fdowns_pen,fdown_tot,pen_no.,pen_yds,off_fum,off_int,off_Tot,def_Pts,def_pass_Cmp,dpass_Att,dpass_Pct,d_pass_Yds,dpass_TD,drush_Att,drush_Yds,drush_Avg,drush_TD,doff_Plays,d_off_Yds,doff_Avg,dfdown_Pass,dfdown_Rush,dfdown_Pen,dfdown_Tot,d_penn_No.,d_penn_Yds,dturnovers_Fum,d_turnovers_Int,d_turnovers_TO
17,Buffalo,10,29.8,20.9,35.3,59.2,236.5,1.4,41.5,151.5,3.7,1.8,76.8,388,5.1,10.9,9.5,1.7,22.1,5.4,51.4,0.7,0.7,1.4,27.4,16.2,28.2,57.4,219,1.4,34.8,183.8,5.3,1.9,63,402.8,6.4,9.2,7.2,2,18.4,6.6,57.9,1.2,0.9,2.1
18,California,10,23.2,24.4,38.9,62.7,264.2,1.8,27.9,97.9,3.5,0.9,66.8,362.1,5.4,11.7,5.9,2.1,19.7,5.2,43.9,0.1,0.7,0.8,27.9,25,37.9,66,289.4,2.1,33,130.8,4,1.5,70.9,420.2,5.9,13.7,7.8,1.1,22.6,5.8,54.3,0.6,1,1.6
19,Central Michigan,11,25.3,19.3,33.9,56.8,220.8,1.5,37.1,159,4.3,1.7,71,379.8,5.3,10.5,8,2.1,20.6,7,63.9,1.6,0.6,2.3,27.3,18.7,31.9,58.7,219.3,1.6,39.6,147.6,3.7,1.6,71.5,366.9,5.1,10.2,8.5,1.3,20,6.5,61.3,0.6,0.4,1
20,Charlotte,11,24.3,21.5,36.3,59.4,271.3,2.5,30.8,113.4,3.7,0.9,67.1,384.6,5.7,12.2,6.8,2.3,21.3,6.8,60.7,0.6,1.3,1.9,41.1,19.7,28.4,69.6,284.5,2.5,40.1,211.5,5.3,2.4,68.5,495.9,7.2,11.7,10.9,2.2,24.8,6.4,53.4,0.4,0.6,1
21,Cincinnati,10,32.6,21,33.9,61.9,271.3,2,30.2,127.6,4.2,1.5,64.1,398.9,6.2,12.3,5.7,1,19,8.4,72.8,0.6,0.7,1.3,21.4,16.8,31,54.2,190.8,1.3,43.7,144.9,3.3,1.4,74.7,335.7,4.5,9.3,8.5,2.9,20.7,3.8,36.6,0.6,0.7,1.3
22,Clemson,10,34.2,20.7,32.3,64.1,227.1,2,39.6,182.1,4.6,2.2,71.9,409.2,5.7,9.5,10.6,2.5,22.6,6.1,54.2,0.8,0.6,1.4,21,21.9,36,60.8,229.2,1.5,31.3,111.6,3.6,0.8,67.3,340.8,5.1,10.5,6.8,1.8,19.1,6.3,59.6,0.6,0.8,1.4
23,Coastal Carolina,10,31.6,18,26.9,66.9,257.6,2.2,40.6,174.1,4.3,1.8,67.5,431.7,6.4,10.9,9.2,2.5,22.6,5.8,54.7,0.8,0.4,1.2,26.9,19.9,31.4,63.4,276.8,1.6,33.7,125.6,3.7,1.5,65.1,402.4,6.2,12,7.1,1.3,20.4,6.6,56.5,1.3,0.9,2.2
24,Colorado,10,15.7,15.7,31,50.6,182.9,0.8,32.9,115.9,3.5,0.9,63.9,298.8,4.7,7.5,7.7,1.7,16.9,5.2,45.7,1.1,0.9,2,41.7,20.1,30.3,66.3,260.2,2.5,39.9,227.8,5.7,2.9,70.2,488,7,11.8,11.9,1,24.7,6.3,56.8,0.5,0.4,0.9
25,Colorado State,10,12.9,16.4,27.2,60.3,195.2,0.8,32.9,92.8,2.8,0.4,60.1,288,4.8,7.8,5.6,1.3,14.7,7.5,66.9,0.7,1.1,1.8,29.9,20.7,32.6,63.5,223.5,1.5,36.7,153.3,4.2,2.1,69.3,376.8,5.4,10.7,8.6,1.8,21.1,5,45.8,0.5,0.8,1.3
26,Connecticut,11,20.1,12,20.2,59.5,106.5,0.9,40.9,189.5,4.6,1.5,61.1,296,4.8,5,9.4,1.5,15.8,6.5,53.4,1,0.5,1.5,25.4,21.6,34.1,63.5,240.6,1.2,36.3,152.4,4.2,1.7,70.4,393,5.6,10.9,9.5,2.1,22.5,4.7,42.7,0.7,1.1,1.8
