forecast_timestamp,team,group,spi,global_o,global_d,sim_wins,sim_ties,sim_losses,sim_goal_diff,goals_scored,goals_against,group_1,group_2,group_3,group_4,make_round_of_16,make_quarters,make_semis,make_final,win_league,timestamp
2022-11-16 16:00:55 UTC,Belgium,F,82.49005,2.62457,0.6845,1.32798,0.8056,0.86642,1.04043,4.71514,3.67471,0.35643,0.26757,0.21261,0.16339,0.624,0.27365,0.12034,0.06141,0.02608,2022-11-21 18:03:37 UTC
2022-11-16 16:00:55 UTC,Croatia,F,78.84025,2.28577,0.65525,1.15695,0.84997,0.99308,0.32548,4.07091,3.74543,0.27547,0.26872,0.2432,0.21261,0.54419,0.21411,0.08819,0.04219,0.01702,2022-11-21 18:03:37 UTC
2022-11-16 16:00:55 UTC,Switzerland,G,77.64665,2.23118,0.67527,1.01246,0.79286,1.19468,-0.49222,3.61276,4.10498,0.13455,0.34406,0.30746,0.21393,0.47861,0.20741,0.0888,0.03948,0.01455,2022-11-21 18:03:37 UTC
2022-11-16 16:00:55 UTC,USA,B,74.83489,2.11382,0.7233,1.08538,0.87897,1.03565,0.07698,3.58459,3.50761,0.2214,0.30813,0.26353,0.20694,0.52953,0.24297,0.10082,0.03517,0.01304,2022-11-21 18:03:37 UTC
2022-11-16 16:00:55 UTC,Mexico,C,74.29647,2.00635,0.67211,1.10911,0.86111,1.02978,0.15824,3.62095,3.46271,0.20717,0.32919,0.27301,0.19063,0.53636,0.22207,0.09943,0.03394,0.01268,2022-11-21 18:03:37 UTC
2022-11-16 16:00:55 UTC,Senegal,A,73.8414,1.94597,0.64928,1.10327,0.84656,1.05017,0.13989,3.84251,3.70262,0.20957,0.30172,0.29356,0.19515,0.51129,0.23152,0.09563,0.03294,0.01199,2022-11-21 18:03:37 UTC
2022-11-16 16:00:55 UTC,Ecuador,A,72.74127,1.95582,0.70294,1.06051,0.83314,1.10635,-0.08847,3.80594,3.89441,0.19014,0.29195,0.30458,0.21333,0.48209,0.20916,0.08389,0.02817,0.01022,2022-11-21 18:03:37 UTC
2022-11-16 16:00:55 UTC,Morocco,F,75.62263,2.10023,0.67896,1.00739,0.86128,1.13133,-0.27965,3.68217,3.96182,0.21422,0.25051,0.26928,0.26599,0.46473,0.16532,0.06159,0.02701,0.01021,2022-11-21 18:03:37 UTC
2022-11-16 16:00:55 UTC,Serbia,G,75.83904,2.21814,0.74974,0.91609,0.77856,1.30535,-0.98479,3.4681,4.45289,0.10954,0.30341,0.33362,0.25343,0.41295,0.16587,0.06658,0.02878,0.01,2022-11-21 18:03:37 UTC
2022-11-16 16:00:55 UTC,Japan,E,71.43695,1.98575,0.78071,0.9156,0.76006,1.32434,-1.03341,3.51877,4.55218,0.11084,0.23408,0.43682,0.21826,0.34492,0.1576,0.05775,0.02465,0.00876,2022-11-21 18:03:37 UTC
2022-11-16 16:00:55 UTC,Canada,F,71.58583,1.94737,0.74608,0.82211,0.85429,1.3236,-1.08626,3.26725,4.35351,0.15388,0.2132,0.27491,0.35801,0.36708,0.11482,0.03869,0.01591,0.0055,2022-11-21 18:03:37 UTC
2022-11-16 16:00:55 UTC,Poland,C,68.28098,1.87603,0.83283,0.84879,0.83305,1.31816,-1.06316,3.14758,4.21074,0.12588,0.25332,0.31968,0.30112,0.3792,0.12938,0.05029,0.01471,0.00463,2022-11-21 18:03:37 UTC
2022-11-16 16:00:55 UTC,South Korea,H,66.12313,1.73414,0.81094,0.82649,0.85594,1.31757,-1.13309,2.91359,4.04668,0.12062,0.23574,0.35148,0.29216,0.35636,0.10596,0.03783,0.01429,0.00449,2022-11-21 18:03:37 UTC
2022-11-16 16:00:55 UTC,Tunisia,D,65.85461,1.63339,0.74077,0.73256,0.86585,1.40159,-1.46599,2.62304,4.08903,0.09675,0.21187,0.34901,0.34237,0.30862,0.11045,0.04178,0.01166,0.00382,2022-11-21 18:03:37 UTC
2022-11-16 16:00:55 UTC,Iran,B,62.17412,1.51146,0.78563,0.75007,0.9078,1.34213,-1.23015,2.62104,3.85119,0.1152,0.22687,0.3076,0.35033,0.34207,0.12694,0.04371,0.01241,0.00365,2022-11-21 18:03:37 UTC
2022-11-16 16:00:55 UTC,Wales,B,65.58314,1.7128,0.81593,0.72363,0.87562,1.40075,-1.47559,2.67891,4.1545,0.10895,0.21519,0.29901,0.37685,0.32414,0.11755,0.03968,0.01153,0.00345,2022-11-21 18:03:37 UTC
2022-11-16 16:00:55 UTC,Cameroon,G,64.15924,1.65744,0.82883,0.5109,0.72564,1.76346,-2.98603,2.30607,5.2921,0.03952,0.15847,0.29046,0.51155,0.19799,0.05796,0.01791,0.00597,0.00167,2022-11-21 18:03:37 UTC
2022-11-16 16:00:55 UTC,Saudi Arabia,C,56.86592,1.50018,0.99118,0.59721,0.79021,1.61258,-2.26444,2.55321,4.81765,0.06973,0.17476,0.29436,0.46115,0.24449,0.06913,0.02164,0.00516,0.00132,2022-11-21 18:03:37 UTC
2022-11-16 16:00:55 UTC,Australia,D,60.83178,1.59388,0.91112,0.55148,0.79247,1.65605,-2.49253,2.36908,4.86161,0.05911,0.15706,0.3024,0.48143,0.21617,0.065,0.02062,0.00454,0.00124,2022-11-21 18:03:37 UTC
2022-11-16 16:00:55 UTC,Qatar,A,51.00223,1.57111,1.31642,0.56555,0.68681,1.74764,-2.95133,3.11894,6.07027,0.06806,0.1485,0.25634,0.5271,0.21656,0.06588,0.0184,0.00399,0.00096,2022-11-21 18:03:37 UTC
2022-11-16 16:00:55 UTC,Ghana,H,58.62702,1.43347,0.85806,0.4673,0.80877,1.72393,-2.74111,1.99867,4.73978,0.04662,0.13341,0.28475,0.53522,0.18003,0.03586,0.00945,0.00284,0.00063,2022-11-21 18:03:37 UTC
2022-11-16 16:00:55 UTC,Costa Rica,E,55.45518,1.39816,0.95388,0.29847,0.61279,2.08874,-4.39879,1.8086,6.20739,0.01743,0.06655,0.22772,0.6883,0.08398,0.0229,0.0051,0.00132,0.00032,2022-11-21 18:03:37 UTC
